,usage_end_time,cost,usage_amount,usage_unit,service_type
657734,2024-08-01 23:00:00,0.0,3915240.0,byte-seconds,Dataplex
657848,2024-08-02 0:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657849,2024-08-02 0:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657866,2024-08-02 0:00:00,0.0,3222000.0,byte-seconds,Dataplex
657872,2024-08-02 0:00:00,0.0,89208000.0,byte-seconds,Dataplex
657927,2024-08-02 1:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657928,2024-08-02 1:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657963,2024-08-02 1:00:00,0.0,1054310.0,byte-seconds,Dataplex
657964,2024-08-02 1:00:00,0.0,2167690.0,byte-seconds,Dataplex
657974,2024-08-02 1:00:00,0.0,29190840.0,byte-seconds,Dataplex
657975,2024-08-02 1:00:00,0.0,60017160.0,byte-seconds,Dataplex
658067,2024-08-02 2:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658068,2024-08-02 2:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658090,2024-08-02 2:00:00,0.0,1934990.0,byte-seconds,Dataplex
658091,2024-08-02 2:00:00,0.0,1287010.0,byte-seconds,Dataplex
658097,2024-08-02 2:00:00,0.0,35633640.0,byte-seconds,Dataplex
658098,2024-08-02 2:00:00,0.0,53574360.0,byte-seconds,Dataplex
658172,2024-08-02 3:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658173,2024-08-02 3:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658209,2024-08-02 3:00:00,0.0,3222000.0,byte-seconds,Dataplex
658217,2024-08-02 3:00:00,0.0,89208000.0,byte-seconds,Dataplex
658322,2024-08-02 4:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658323,2024-08-02 4:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658343,2024-08-02 4:00:00,0.0,1534925.0,byte-seconds,Dataplex
658344,2024-08-02 4:00:00,0.0,1687075.0,byte-seconds,Dataplex
658350,2024-08-02 4:00:00,0.0,42497700.0,byte-seconds,Dataplex
658351,2024-08-02 4:00:00,0.0,46710300.0,byte-seconds,Dataplex
658430,2024-08-02 5:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658431,2024-08-02 5:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658456,2024-08-02 5:00:00,0.0,2177535.0,byte-seconds,Dataplex
658457,2024-08-02 5:00:00,0.0,1044465.0,byte-seconds,Dataplex
658468,2024-08-02 5:00:00,0.0,60289740.0,byte-seconds,Dataplex
658469,2024-08-02 5:00:00,0.0,28918260.0,byte-seconds,Dataplex
658583,2024-08-02 6:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658584,2024-08-02 6:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658598,2024-08-02 6:00:00,0.0,3222000.0,byte-seconds,Dataplex
658605,2024-08-02 6:00:00,0.0,89208000.0,byte-seconds,Dataplex
658662,2024-08-02 7:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
658663,2024-08-02 7:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
658697,2024-08-02 7:00:00,0.0,2488100.0,byte-seconds,Dataplex
658698,2024-08-02 7:00:00,0.0,733900.0,byte-seconds,Dataplex
658712,2024-08-02 7:00:00,0.0,89208000.0,byte-seconds,Dataplex
658836,2024-08-02 8:00:00,0.0,583200.0,byte-seconds,Dataplex
658931,2024-08-02 9:00:00,0.0,583200.0,byte-seconds,Dataplex
659041,2024-08-02 10:00:00,0.0,583200.0,byte-seconds,Dataplex
659139,2024-08-02 11:00:00,0.0,583200.0,byte-seconds,Dataplex
659238,2024-08-02 12:00:00,0.0,583200.0,byte-seconds,Dataplex
659345,2024-08-02 13:00:00,0.0,583200.0,byte-seconds,Dataplex
659469,2024-08-02 14:00:00,0.0,137700.0,byte-seconds,Dataplex
