usage_end_time,cost,usage_amount,usage_unit,service_type
2023-12-20 4:00:00,9e-06,2711617536.0,byte-seconds,Vertex AI
2023-12-20 5:00:00,2e-06,745537536.0,byte-seconds,Vertex AI
2023-12-20 5:00:00,1e-05,3029336064.0,byte-seconds,Vertex AI
2023-12-20 6:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 7:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 8:00:00,0.0,94371840.0,byte-seconds,Vertex AI
2023-12-20 8:00:00,1.2e-05,3680501760.0,byte-seconds,Vertex AI
2023-12-20 9:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 11:00:00,0.0,70254592.0,byte-seconds,Vertex AI
2023-12-20 11:00:00,1.1e-05,3704619008.0,byte-seconds,Vertex AI
2023-12-20 12:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 13:00:00,3e-06,941621248.0,byte-seconds,Vertex AI
2023-12-20 13:00:00,9e-06,2833252352.0,byte-seconds,Vertex AI
2023-12-20 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 15:00:00,0.0,67108864.0,byte-seconds,Vertex AI
2023-12-20 15:00:00,1.2e-05,3707764736.0,byte-seconds,Vertex AI
2023-12-20 16:00:00,8e-06,2465202176.0,byte-seconds,Vertex AI
2023-12-20 16:00:00,4e-06,1309671424.0,byte-seconds,Vertex AI
2023-12-20 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 18:00:00,4e-06,1344274432.0,byte-seconds,Vertex AI
2023-12-20 18:00:00,8e-06,2430599168.0,byte-seconds,Vertex AI
2023-12-20 19:00:00,0.0,68157440.0,byte-seconds,Vertex AI
2023-12-20 19:00:00,1.2e-05,3706716160.0,byte-seconds,Vertex AI
2023-12-20 20:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-20 21:00:00,3e-06,874512384.0,byte-seconds,Vertex AI
2023-12-20 21:00:00,1e-05,2900361216.0,byte-seconds,Vertex AI
2023-12-20 22:00:00,5e-06,1665138688.0,byte-seconds,Vertex AI
2023-12-20 22:00:00,7e-06,2109734912.0,byte-seconds,Vertex AI
2023-12-20 23:00:00,0.0,246415360.0,byte-seconds,Vertex AI
2023-12-20 23:00:00,1.1e-05,3528458240.0,byte-seconds,Vertex AI
2023-12-21 0:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 1:00:00,4e-06,1342177280.0,byte-seconds,Vertex AI
2023-12-21 1:00:00,8e-06,2432696320.0,byte-seconds,Vertex AI
2023-12-21 2:00:00,4e-06,1194328064.0,byte-seconds,Vertex AI
2023-12-21 2:00:00,8e-06,2580545536.0,byte-seconds,Vertex AI
2023-12-21 3:00:00,5e-06,1625292800.0,byte-seconds,Vertex AI
2023-12-21 3:00:00,7e-06,2149580800.0,byte-seconds,Vertex AI
2023-12-21 4:00:00,1e-06,528482304.0,byte-seconds,Vertex AI
2023-12-21 4:00:00,1e-05,3246391296.0,byte-seconds,Vertex AI
2023-12-21 5:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 6:00:00,3e-06,899678208.0,byte-seconds,Vertex AI
2023-12-21 6:00:00,9e-06,2875195392.0,byte-seconds,Vertex AI
2023-12-21 7:00:00,2e-06,727711744.0,byte-seconds,Vertex AI
2023-12-21 7:00:00,1e-05,3047161856.0,byte-seconds,Vertex AI
2023-12-21 8:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 9:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 11:00:00,0.0,54525952.0,byte-seconds,Vertex AI
2023-12-21 11:00:00,1.2e-05,3720347648.0,byte-seconds,Vertex AI
2023-12-21 12:00:00,0.0,0.0,byte-seconds,Vertex AI
2023-12-21 12:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 13:00:00,3e-06,1068498944.0,byte-seconds,Vertex AI
2023-12-21 13:00:00,8e-06,2706374656.0,byte-seconds,Vertex AI
2023-12-21 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 15:00:00,2e-06,764411904.0,byte-seconds,Vertex AI
2023-12-21 15:00:00,1e-05,3010461696.0,byte-seconds,Vertex AI
2023-12-21 16:00:00,4e-06,1415577600.0,byte-seconds,Vertex AI
2023-12-21 16:00:00,7e-06,2359296000.0,byte-seconds,Vertex AI
2023-12-21 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 18:00:00,9e-06,3032481792.0,byte-seconds,Vertex AI
2023-12-21 18:00:00,2e-06,742391808.0,byte-seconds,Vertex AI
2023-12-21 19:00:00,6e-06,1803550720.0,byte-seconds,Vertex AI
2023-12-21 19:00:00,6e-06,1971322880.0,byte-seconds,Vertex AI
2023-12-21 20:00:00,2e-06,847249408.0,byte-seconds,Vertex AI
2023-12-21 20:00:00,9e-06,2927624192.0,byte-seconds,Vertex AI
2023-12-21 21:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-21 22:00:00,0.0,261095424.0,byte-seconds,Vertex AI
2023-12-21 22:00:00,1.1e-05,3513778176.0,byte-seconds,Vertex AI
2023-12-21 23:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 0:00:00,5e-06,1620049920.0,byte-seconds,Vertex AI
2023-12-22 0:00:00,7e-06,2154823680.0,byte-seconds,Vertex AI
2023-12-22 1:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 2:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 3:00:00,2e-06,752877568.0,byte-seconds,Vertex AI
2023-12-22 3:00:00,1e-05,3021996032.0,byte-seconds,Vertex AI
2023-12-22 4:00:00,3e-06,891289600.0,byte-seconds,Vertex AI
2023-12-22 4:00:00,9e-06,2883584000.0,byte-seconds,Vertex AI
2023-12-22 5:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 6:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 7:00:00,3e-06,929038336.0,byte-seconds,Vertex AI
2023-12-22 7:00:00,9e-06,2845835264.0,byte-seconds,Vertex AI
2023-12-22 8:00:00,0.0,251658240.0,byte-seconds,Vertex AI
2023-12-22 8:00:00,1.1e-05,3523215360.0,byte-seconds,Vertex AI
2023-12-22 9:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 11:00:00,0.0,66060288.0,byte-seconds,Vertex AI
2023-12-22 11:00:00,1.2e-05,3708813312.0,byte-seconds,Vertex AI
2023-12-22 12:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 15:00:00,3e-06,894435328.0,byte-seconds,Vertex AI
2023-12-22 15:00:00,9e-06,2880438272.0,byte-seconds,Vertex AI
2023-12-22 16:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 17:00:00,5e-06,1522532352.0,byte-seconds,Vertex AI
2023-12-22 17:00:00,7e-06,2252341248.0,byte-seconds,Vertex AI
2023-12-22 18:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 19:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 20:00:00,2e-06,758120448.0,byte-seconds,Vertex AI
2023-12-22 20:00:00,9e-06,3016753152.0,byte-seconds,Vertex AI
2023-12-22 21:00:00,4e-06,1399848960.0,byte-seconds,Vertex AI
2023-12-22 21:00:00,8e-06,2375024640.0,byte-seconds,Vertex AI
2023-12-22 22:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-22 23:00:00,0.0,110100480.0,byte-seconds,Vertex AI
2023-12-22 23:00:00,1.2e-05,3664773120.0,byte-seconds,Vertex AI
2023-12-23 0:00:00,4e-06,1367343104.0,byte-seconds,Vertex AI
2023-12-23 0:00:00,8e-06,2407530496.0,byte-seconds,Vertex AI
2023-12-23 1:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 2:00:00,6e-06,1830813696.0,byte-seconds,Vertex AI
2023-12-23 2:00:00,6e-06,1944059904.0,byte-seconds,Vertex AI
2023-12-23 3:00:00,0.0,217055232.0,byte-seconds,Vertex AI
2023-12-23 3:00:00,1.1e-05,3557818368.0,byte-seconds,Vertex AI
2023-12-23 4:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 5:00:00,3e-06,896532480.0,byte-seconds,Vertex AI
2023-12-23 5:00:00,9e-06,2878341120.0,byte-seconds,Vertex AI
2023-12-23 6:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 7:00:00,2e-06,774897664.0,byte-seconds,Vertex AI
2023-12-23 7:00:00,9e-06,2999975936.0,byte-seconds,Vertex AI
2023-12-23 8:00:00,6e-06,1832910848.0,byte-seconds,Vertex AI
2023-12-23 8:00:00,6e-06,1941962752.0,byte-seconds,Vertex AI
2023-12-23 9:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 11:00:00,0.0,56623104.0,byte-seconds,Vertex AI
2023-12-23 11:00:00,1.2e-05,3718250496.0,byte-seconds,Vertex AI
2023-12-23 12:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 13:00:00,5e-06,1624244224.0,byte-seconds,Vertex AI
2023-12-23 13:00:00,7e-06,2150629376.0,byte-seconds,Vertex AI
2023-12-23 14:00:00,5e-06,1517289472.0,byte-seconds,Vertex AI
2023-12-23 14:00:00,7e-06,2257584128.0,byte-seconds,Vertex AI
2023-12-23 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 16:00:00,1e-06,568328192.0,byte-seconds,Vertex AI
2023-12-23 16:00:00,1e-05,3206545408.0,byte-seconds,Vertex AI
2023-12-23 17:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
2023-12-23 18:00:00,6e-06,1948254208.0,byte-seconds,Vertex AI
2023-12-23 18:00:00,6e-06,1826619392.0,byte-seconds,Vertex AI
