,usage_end_time,cost,service_type,region,usage_amount,usage_unit
2743,2023-12-08 13:00:00,0.0016,Networking,europe-west1,2.0,requests
2744,2023-12-08 13:00:00,0.0022,Networking,europe-west1,2.0,requests
2745,2023-12-08 13:00:00,0.0022,Networking,europe-west1,2.0,requests
2822,2023-12-08 14:00:00,0.0016,Networking,europe-west1,2.0,requests
2823,2023-12-08 14:00:00,0.0022,Networking,europe-west1,2.0,requests
2824,2023-12-08 14:00:00,0.0022,Networking,europe-west1,2.0,requests
2901,2023-12-08 15:00:00,0.0016,Networking,europe-west1,2.0,requests
2902,2023-12-08 15:00:00,0.0022,Networking,europe-west1,2.0,requests
2903,2023-12-08 15:00:00,0.0022,Networking,europe-west1,2.0,requests
3031,2023-12-08 16:00:00,0.0016,Networking,europe-west1,2.0,requests
3032,2023-12-08 16:00:00,0.0022,Networking,europe-west1,2.0,requests
3033,2023-12-08 16:00:00,0.0022,Networking,europe-west1,2.0,requests
3097,2023-12-08 17:00:00,0.0022,Networking,europe-west1,2.0,requests
3137,2023-12-08 17:00:00,0.0016,Networking,europe-west1,2.0,requests
3138,2023-12-08 17:00:00,0.0022,Networking,europe-west1,2.0,requests
3199,2023-12-08 18:00:00,0.0016,Networking,europe-west1,2.0,requests
3200,2023-12-08 18:00:00,0.0022,Networking,europe-west1,2.0,requests
3201,2023-12-08 18:00:00,0.0022,Networking,europe-west1,2.0,requests
3280,2023-12-08 19:00:00,0.0016,Networking,europe-west1,2.0,requests
3281,2023-12-08 19:00:00,0.0022,Networking,europe-west1,2.0,requests
3282,2023-12-08 19:00:00,0.0022,Networking,europe-west1,2.0,requests
3369,2023-12-08 20:00:00,0.0016,Networking,europe-west1,2.0,requests
3370,2023-12-08 20:00:00,0.0022,Networking,europe-west1,2.0,requests
3371,2023-12-08 20:00:00,0.0022,Networking,europe-west1,2.0,requests
3501,2023-12-08 21:00:00,0.0016,Networking,europe-west1,2.0,requests
3502,2023-12-08 21:00:00,0.0022,Networking,europe-west1,2.0,requests
3503,2023-12-08 21:00:00,0.0022,Networking,europe-west1,2.0,requests
3600,2023-12-08 22:00:00,0.0016,Networking,europe-west1,2.0,requests
3601,2023-12-08 22:00:00,0.0022,Networking,europe-west1,2.0,requests
3602,2023-12-08 22:00:00,0.0022,Networking,europe-west1,2.0,requests
3685,2023-12-08 23:00:00,0.0016,Networking,europe-west1,2.0,requests
3686,2023-12-08 23:00:00,0.0022,Networking,europe-west1,2.0,requests
3687,2023-12-08 23:00:00,0.0022,Networking,europe-west1,2.0,requests
3797,2023-12-09 0:00:00,0.0016,Networking,europe-west1,2.0,requests
3798,2023-12-09 0:00:00,0.0022,Networking,europe-west1,2.0,requests
3799,2023-12-09 0:00:00,0.0022,Networking,europe-west1,2.0,requests
3893,2023-12-09 1:00:00,0.0016,Networking,europe-west1,2.0,requests
3894,2023-12-09 1:00:00,0.0022,Networking,europe-west1,2.0,requests
3895,2023-12-09 1:00:00,0.0022,Networking,europe-west1,2.0,requests
3995,2023-12-09 2:00:00,0.0016,Networking,europe-west1,2.0,requests
3996,2023-12-09 2:00:00,0.0022,Networking,europe-west1,2.0,requests
3997,2023-12-09 2:00:00,0.0022,Networking,europe-west1,2.0,requests
4098,2023-12-09 3:00:00,0.0016,Networking,europe-west1,2.0,requests
4099,2023-12-09 3:00:00,0.0022,Networking,europe-west1,2.0,requests
4100,2023-12-09 3:00:00,0.0022,Networking,europe-west1,2.0,requests
4214,2023-12-09 4:00:00,0.0016,Networking,europe-west1,2.0,requests
4215,2023-12-09 4:00:00,0.0022,Networking,europe-west1,2.0,requests
4216,2023-12-09 4:00:00,0.0022,Networking,europe-west1,2.0,requests
4323,2023-12-09 5:00:00,0.0016,Networking,europe-west1,2.0,requests
4324,2023-12-09 5:00:00,0.0022,Networking,europe-west1,2.0,requests
4325,2023-12-09 5:00:00,0.0022,Networking,europe-west1,2.0,requests
4405,2023-12-09 6:00:00,0.0016,Networking,europe-west1,2.0,requests
4406,2023-12-09 6:00:00,0.0022,Networking,europe-west1,2.0,requests
4407,2023-12-09 6:00:00,0.0022,Networking,europe-west1,2.0,requests
4502,2023-12-09 7:00:00,0.0016,Networking,europe-west1,2.0,requests
4503,2023-12-09 7:00:00,0.0022,Networking,europe-west1,2.0,requests
4504,2023-12-09 7:00:00,0.0022,Networking,europe-west1,2.0,requests
4593,2023-12-09 8:00:00,0.0016,Networking,europe-west1,2.0,requests
4594,2023-12-09 8:00:00,0.0022,Networking,europe-west1,2.0,requests
4595,2023-12-09 8:00:00,0.0022,Networking,europe-west1,2.0,requests
4687,2023-12-09 9:00:00,0.0016,Networking,europe-west1,2.0,requests
4688,2023-12-09 9:00:00,0.0022,Networking,europe-west1,2.0,requests
4689,2023-12-09 9:00:00,0.0022,Networking,europe-west1,2.0,requests
4766,2023-12-09 10:00:00,0.0016,Networking,europe-west1,2.0,requests
4767,2023-12-09 10:00:00,0.0022,Networking,europe-west1,2.0,requests
4768,2023-12-09 10:00:00,0.0022,Networking,europe-west1,2.0,requests
4848,2023-12-09 11:00:00,0.0016,Networking,europe-west1,2.0,requests
4849,2023-12-09 11:00:00,0.0022,Networking,europe-west1,2.0,requests
4850,2023-12-09 11:00:00,0.0022,Networking,europe-west1,2.0,requests
4932,2023-12-09 12:00:00,0.0016,Networking,europe-west1,2.0,requests
4933,2023-12-09 12:00:00,0.0022,Networking,europe-west1,2.0,requests
4934,2023-12-09 12:00:00,0.0022,Networking,europe-west1,2.0,requests
5049,2023-12-09 13:00:00,0.0016,Networking,europe-west1,2.0,requests
5050,2023-12-09 13:00:00,0.0022,Networking,europe-west1,2.0,requests
5051,2023-12-09 13:00:00,0.0022,Networking,europe-west1,2.0,requests
5155,2023-12-09 14:00:00,0.0016,Networking,europe-west1,2.0,requests
5156,2023-12-09 14:00:00,0.0022,Networking,europe-west1,2.0,requests
5157,2023-12-09 14:00:00,0.0022,Networking,europe-west1,2.0,requests
5244,2023-12-09 15:00:00,0.0016,Networking,europe-west1,2.0,requests
5245,2023-12-09 15:00:00,0.0022,Networking,europe-west1,2.0,requests
5246,2023-12-09 15:00:00,0.0022,Networking,europe-west1,2.0,requests
5337,2023-12-09 16:00:00,0.0016,Networking,europe-west1,2.0,requests
5338,2023-12-09 16:00:00,0.0022,Networking,europe-west1,2.0,requests
5339,2023-12-09 16:00:00,0.0022,Networking,europe-west1,2.0,requests
5439,2023-12-09 17:00:00,0.0016,Networking,europe-west1,2.0,requests
5440,2023-12-09 17:00:00,0.0022,Networking,europe-west1,2.0,requests
5441,2023-12-09 17:00:00,0.0022,Networking,europe-west1,2.0,requests
5519,2023-12-09 18:00:00,0.0016,Networking,europe-west1,2.0,requests
5520,2023-12-09 18:00:00,0.0022,Networking,europe-west1,2.0,requests
5521,2023-12-09 18:00:00,0.0022,Networking,europe-west1,2.0,requests
5596,2023-12-09 19:00:00,0.0016,Networking,europe-west1,2.0,requests
5597,2023-12-09 19:00:00,0.0022,Networking,europe-west1,2.0,requests
5598,2023-12-09 19:00:00,0.0022,Networking,europe-west1,2.0,requests
5757,2023-12-09 20:00:00,0.0016,Networking,europe-west1,2.0,requests
5758,2023-12-09 20:00:00,0.0022,Networking,europe-west1,2.0,requests
5759,2023-12-09 20:00:00,0.0022,Networking,europe-west1,2.0,requests
5870,2023-12-09 21:00:00,0.0016,Networking,europe-west1,2.0,requests
5871,2023-12-09 21:00:00,0.0022,Networking,europe-west1,2.0,requests
5872,2023-12-09 21:00:00,0.0022,Networking,europe-west1,2.0,requests
5959,2023-12-09 22:00:00,0.0016,Networking,europe-west1,2.0,requests
5960,2023-12-09 22:00:00,0.0022,Networking,europe-west1,2.0,requests
5961,2023-12-09 22:00:00,0.0022,Networking,europe-west1,2.0,requests
6062,2023-12-09 23:00:00,0.0016,Networking,europe-west1,2.0,requests
6063,2023-12-09 23:00:00,0.0022,Networking,europe-west1,2.0,requests
6064,2023-12-09 23:00:00,0.0022,Networking,europe-west1,2.0,requests
6181,2023-12-10 0:00:00,0.0016,Networking,europe-west1,2.0,requests
6182,2023-12-10 0:00:00,0.0022,Networking,europe-west1,2.0,requests
6183,2023-12-10 0:00:00,0.0022,Networking,europe-west1,2.0,requests
6289,2023-12-10 1:00:00,0.0016,Networking,europe-west1,2.0,requests
6290,2023-12-10 1:00:00,0.0022,Networking,europe-west1,2.0,requests
6291,2023-12-10 1:00:00,0.0022,Networking,europe-west1,2.0,requests
6370,2023-12-10 2:00:00,0.0016,Networking,europe-west1,2.0,requests
6371,2023-12-10 2:00:00,0.0022,Networking,europe-west1,2.0,requests
6372,2023-12-10 2:00:00,0.0022,Networking,europe-west1,2.0,requests
6469,2023-12-10 3:00:00,0.0016,Networking,europe-west1,2.0,requests
6470,2023-12-10 3:00:00,0.0022,Networking,europe-west1,2.0,requests
6471,2023-12-10 3:00:00,0.0022,Networking,europe-west1,2.0,requests
6584,2023-12-10 4:00:00,0.0016,Networking,europe-west1,2.0,requests
6585,2023-12-10 4:00:00,0.0022,Networking,europe-west1,2.0,requests
