reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
82.0,0,2023-12-10 19:00:00,0.040998,44081778.0,seconds,Networking
83.0,0,2023-12-10 20:00:00,0.040999,47031110.0,seconds,Networking
84.0,0,2023-12-10 21:00:00,0.040999,47438361.0,seconds,Networking
85.0,0,2023-12-10 22:00:00,0.040999,45704378.0,seconds,Networking
86.0,0,2023-12-10 23:00:00,0.040998,45110488.0,seconds,Networking
87.0,0,2023-12-11 00:00:00,0.040999,46183085.0,seconds,Networking
88.0,0,2023-12-11 01:00:00,0.040998,45791961.0,seconds,Networking
89.0,0,2023-12-11 02:00:00,0.040998,46420887.0,seconds,Networking
90.0,0,2023-12-11 03:00:00,0.041,45513472.0,seconds,Networking
91.0,0,2023-12-11 04:00:00,0.040998,46569155.0,seconds,Networking
92.0,0,2023-12-11 05:00:00,0.040998,45912385.0,seconds,Networking
93.0,0,2023-12-11 06:00:00,0.040998,47777854.0,seconds,Networking
94.0,0,2023-12-11 07:00:00,0.040998,46012648.0,seconds,Networking
95.0,0,2023-12-11 08:00:00,0.040999,44235529.0,seconds,Networking
96.0,0,2023-12-11 09:00:00,0.041042,54338415.0,seconds,Networking
97.0,0,2023-12-11 10:00:00,0.041042,50531095.0,seconds,Networking
98.0,0,2023-12-11 11:00:00,0.041041,51922789.0,seconds,Networking
99.0,0,2023-12-11 12:00:00,0.041053,55945572.0,seconds,Networking
100.0,0,2023-12-11 13:00:00,0.041114,64503800.0,seconds,Networking
101.0,0,2023-12-11 14:00:00,0.041113000000000004,62176247.0,seconds,Networking
102.0,0,2023-12-11 15:00:00,0.041114,61483730.0,seconds,Networking
103.0,0,2023-12-11 16:00:00,0.041007,46422370.0,requests,Networking
104.0,0,2023-12-11 17:00:00,0.040999,45458598.0,seconds,Networking
105.0,0,2023-12-11 18:00:00,0.040999,49424668.0,bytes,Networking
106.0,0,2023-12-11 19:00:00,0.040998,48861633.0,bytes,Networking
107.0,0,2023-12-11 20:00:00,0.040999,45428646.0,bytes,Networking
108.0,0,2023-12-11 21:00:00,0.040999,42934169.0,bytes,Networking
109.0,0,2023-12-11 22:00:00,0.040998,47722724.0,bytes,Networking
110.0,0,2023-12-11 23:00:00,0.040998,45679873.0,bytes,Networking
111.0,0,2023-12-12 00:00:00,0.040998,45804110.0,bytes,Networking
112.0,0,2023-12-12 01:00:00,0.041,47023302.0,bytes,Networking
113.0,0,2023-12-12 02:00:00,0.040999,46675558.0,bytes,Networking
114.0,0,2023-12-12 03:00:00,0.040998,46744255.0,bytes,Networking
115.0,0,2023-12-12 04:00:00,0.040998,45979555.0,bytes,Networking
116.0,0,2023-12-12 05:00:00,0.04099799999999999,48248036.0,bytes,Networking
117.0,0,2023-12-12 06:00:00,0.040999,46834246.0,bytes,Networking
118.0,0,2023-12-12 07:00:00,0.040999,44748607.0,bytes,Networking
119.0,0,2023-12-12 08:00:00,0.041051000000000004,50951591.0,bytes,Networking
120.0,0,2023-12-12 09:00:00,0.041054,79272045.0,bytes,Networking
121.0,0,2023-12-12 10:00:00,0.041053,59590583.0,bytes,Networking
122.0,0,2023-12-12 11:00:00,0.041054,57959282.0,bytes,Networking
123.0,0,2023-12-12 12:00:00,0.04701,66224392.0,bytes,Networking
124.0,0,2023-12-12 13:00:00,0.04103,60043386.0,bytes,Networking
125.0,0,2023-12-12 14:00:00,0.035562,60459544.0,bytes,Networking
126.0,0,2023-12-12 15:00:00,0.031011999999999998,15282825.0,bytes,Networking
127.0,0,2023-12-12 16:00:00,0.027929,73298810.0,bytes,Networking
128.0,0,2023-12-12 17:00:00,0.042689,55714598.0,bytes,Networking
129.0,0,2023-12-12 18:00:00,0.043999,64148569.0,seconds,Networking
130.0,0,2023-12-12 19:00:00,0.043998,57189923.0,seconds,Networking
131.0,0,2023-12-12 20:00:00,0.043998,58612397.0,seconds,Networking
132.0,0,2023-12-12 21:00:00,0.043999,62951570.0,seconds,Networking
133.0,0,2023-12-12 22:00:00,0.043998999999999996,58370353.0,seconds,Networking
134.0,0,2023-12-12 23:00:00,0.043998,59887601.0,seconds,Networking
135.0,0,2023-12-13 00:00:00,0.043998,64353169.0,seconds,Networking
136.0,0,2023-12-13 01:00:00,0.043998,60034229.0,seconds,Networking
137.0,0,2023-12-13 02:00:00,0.044,58582286.0,seconds,Networking
138.0,0,2023-12-13 03:00:00,0.044001,61220566.0,seconds,Networking
139.0,0,2023-12-13 04:00:00,0.044011,65912407.0,seconds,Networking
140.0,0,2023-12-13 05:00:00,0.044028,66290661.0,seconds,Networking
141.0,0,2023-12-13 06:00:00,0.044029,68448624.0,seconds,Networking
142.0,0,2023-12-13 07:00:00,0.044028,66152593.0,seconds,Networking
143.0,0,2023-12-13 08:00:00,0.044002,55900616.0,seconds,Networking
144.0,0,2023-12-13 09:00:00,0.047022,87009823.0,seconds,Networking
145.0,0,2023-12-13 10:00:00,0.047038,85216900.0,seconds,Networking
146.0,0,2023-12-13 11:00:00,0.041021,58672368.0,seconds,Networking
147.0,0,2023-12-13 12:00:00,0.041028,53290616.0,seconds,Networking
148.0,0,2023-12-13 13:00:00,0.041038000000000005,61938629.0,seconds,Networking
149.0,0,2023-12-13 14:00:00,0.041037,70349415.0,seconds,Networking
150.0,0,2023-12-13 15:00:00,0.041037000000000004,56312731.0,seconds,Networking
151.0,0,2023-12-13 16:00:00,0.041007,45944495.0,seconds,Networking
152.0,0,2023-12-13 17:00:00,0.040999,50712517.0,seconds,Networking
153.0,0,2023-12-13 18:00:00,0.040998,49015299.0,requests,Networking
154.0,0,2023-12-13 19:00:00,0.040998,44802103.0,bytes,Networking
155.0,0,2023-12-13 20:00:00,0.041,50091834.0,bytes,Networking
156.0,0,2023-12-13 21:00:00,0.040999,44779768.0,bytes,Networking
157.0,0,2023-12-13 22:00:00,0.040999,46885922.0,bytes,Networking
158.0,0,2023-12-13 23:00:00,0.041,47222653.0,bytes,Networking
159.0,0,2023-12-14 00:00:00,0.040998,48863077.0,bytes,Networking
160.0,0,2023-12-14 01:00:00,0.040999,47153869.0,bytes,Networking
161.0,0,2023-12-14 02:00:00,0.041,47444117.0,bytes,Networking
162.0,0,2023-12-14 03:00:00,0.041,47818106.0,bytes,Networking
163.0,0,2023-12-14 04:00:00,0.041005,48754578.0,bytes,Networking
164.0,0,2023-12-14 05:00:00,0.041011,48891510.0,bytes,Networking
165.0,0,2023-12-14 06:00:00,0.041011,52211657.0,bytes,Networking
166.0,0,2023-12-14 07:00:00,0.041011,49842479.0,bytes,Networking
167.0,0,2023-12-14 08:00:00,0.041007,59571136.0,bytes,Networking
168.0,0,2023-12-14 09:00:00,0.041,113207955.0,bytes,Networking
169.0,0,2023-12-14 10:00:00,0.040999,50188273.0,bytes,Networking
170.0,0,2023-12-14 11:00:00,0.040999,57798099.0,bytes,Networking
171.0,0,2023-12-14 12:00:00,0.041018,50556420.0,bytes,Networking
172.0,0,2023-12-14 13:00:00,0.041027,59682334.0,bytes,Networking
173.0,0,2023-12-14 14:00:00,0.041028,62520827.0,bytes,Networking
174.0,0,2023-12-14 15:00:00,0.041027,53484964.0,seconds,Networking
175.0,0,2023-12-14 16:00:00,0.041007,56237019.0,seconds,Networking
176.0,0,2023-12-14 17:00:00,0.040999,58071821.0,seconds,Networking
177.0,0,2023-12-14 18:00:00,0.040998,51357106.0,seconds,Networking
178.0,0,2023-12-14 19:00:00,0.040999,48823296.0,seconds,Networking
179.0,0,2023-12-14 20:00:00,0.040998,54580909.0,seconds,Networking
180.0,0,2023-12-14 21:00:00,0.040998,54467474.0,seconds,Networking
181.0,0,2023-12-14 22:00:00,0.040999,54532134.0,seconds,Networking
182.0,0,2023-12-14 23:00:00,0.040999,54498835.0,seconds,Networking
183.0,0,2023-12-15 00:00:00,0.041,55347242.0,seconds,Networking
184.0,0,2023-12-15 01:00:00,0.040998,51857043.0,seconds,Networking
185.0,0,2023-12-15 02:00:00,0.040999,53339724.0,seconds,Networking
186.0,0,2023-12-15 03:00:00,0.04099799999999999,54384467.0,seconds,Networking
187.0,0,2023-12-15 04:00:00,0.040998,55160707.0,seconds,Networking
188.0,0,2023-12-15 05:00:00,0.040998,54897518.0,seconds,Networking
189.0,0,2023-12-15 06:00:00,0.04099799999999999,54640646.0,seconds,Networking
190.0,0,2023-12-15 07:00:00,0.040998,52077427.0,seconds,Networking
191.0,0,2023-12-15 08:00:00,0.040998,49687582.0,seconds,Networking
192.0,0,2023-12-15 09:00:00,0.041,63283738.0,seconds,Networking
193.0,0,2023-12-15 10:00:00,0.040999,46230327.0,seconds,Networking
194.0,0,2023-12-15 11:00:00,0.040999,59690606.0,seconds,Networking
195.0,0,2023-12-15 12:00:00,0.040998,52609978.0,seconds,Networking
196.0,0,2023-12-15 13:00:00,0.040998,48055726.0,seconds,Networking
197.0,0,2023-12-15 14:00:00,0.040998,56063439.0,seconds,Networking
198.0,0,2023-12-15 15:00:00,0.040998,51571432.0,seconds,Networking
199.0,0,2023-12-15 16:00:00,0.040999,54120854.0,seconds,Networking
200.0,0,2023-12-15 17:00:00,0.040999,56702392.0,seconds,Networking
201.0,0,2023-12-15 18:00:00,0.040999,53821215.0,requests,Networking
202.0,0,2023-12-15 19:00:00,0.041,54652149.0,seconds,Networking
203.0,0,2023-12-15 20:00:00,0.040999,52322201.0,seconds,Networking
204.0,0,2023-12-15 21:00:00,0.040999,58122249.0,seconds,Networking
205.0,0,2023-12-15 22:00:00,0.040999,50723350.0,seconds,Networking
206.0,0,2023-12-15 23:00:00,0.040998,52686812.0,seconds,Networking
207.0,0,2023-12-16 00:00:00,0.040998,53873830.0,seconds,Networking
208.0,0,2023-12-16 01:00:00,0.040998,54107220.0,seconds,Networking
209.0,0,2023-12-16 02:00:00,0.040998,53859933.0,seconds,Networking
210.0,0,2023-12-16 03:00:00,0.040999,53215984.0,seconds,Networking
211.0,0,2023-12-16 04:00:00,0.040999,53595458.0,seconds,Networking
212.0,0,2023-12-16 05:00:00,0.040998,56991066.0,seconds,Networking
213.0,0,2023-12-16 06:00:00,0.040998,51588124.0,seconds,Networking
214.0,0,2023-12-16 07:00:00,0.041,54364368.0,seconds,Networking
215.0,0,2023-12-16 08:00:00,0.040998,50529143.0,seconds,Networking
216.0,0,2023-12-16 09:00:00,0.041,59143752.0,seconds,Networking
217.0,0,2023-12-16 10:00:00,0.040999,50886447.0,seconds,Networking
218.0,0,2023-12-16 11:00:00,0.040999,55929291.0,bytes,Networking
219.0,0,2023-12-16 12:00:00,0.040999,52177894.0,seconds,Networking
220.0,0,2023-12-16 13:00:00,0.040998,54364973.0,bytes,Networking
221.0,0,2023-12-16 14:00:00,0.040998,52263769.0,seconds,Networking
222.0,0,2023-12-16 15:00:00,0.040998,54728986.0,seconds,Networking
223.0,0,2023-12-16 16:00:00,0.040998,58234758.0,bytes,Networking
224.0,0,2023-12-16 17:00:00,0.040999,48729360.0,bytes,Networking
225.0,0,2023-12-16 18:00:00,0.040998,56488938.0,bytes,Networking
226.0,0,2023-12-16 19:00:00,0.040998,51978520.0,bytes,Networking
227.0,0,2023-12-16 20:00:00,0.040998,55641884.0,bytes,Networking
228.0,0,2023-12-16 21:00:00,0.040998,54612450.0,bytes,Networking
229.0,0,2023-12-16 22:00:00,0.040998,54156896.0,bytes,Networking
230.0,0,2023-12-16 23:00:00,0.040999,53941794.0,bytes,Networking
231.0,0,2023-12-17 00:00:00,0.040998,54394963.0,bytes,Networking
232.0,0,2023-12-17 01:00:00,0.040999,54164490.0,bytes,Networking
233.0,0,2023-12-17 02:00:00,0.040998,53095268.0,bytes,Networking
234.0,0,2023-12-17 03:00:00,0.040998,55107097.0,bytes,Networking
235.0,0,2023-12-17 04:00:00,0.040999,53689885.0,bytes,Networking
236.0,0,2023-12-17 05:00:00,0.040999,53020621.0,bytes,Networking
237.0,0,2023-12-17 06:00:00,0.040998,57416444.0,bytes,Networking
238.0,0,2023-12-17 07:00:00,0.040998,52506173.0,bytes,Networking
239.0,0,2023-12-17 08:00:00,0.040998,50220588.0,bytes,Networking
240.0,0,2023-12-17 09:00:00,0.041,64198972.0,bytes,Networking
241.0,0,2023-12-17 10:00:00,0.040999,47954333.0,bytes,Networking
242.0,0,2023-12-17 11:00:00,0.040999,51120478.0,bytes,Networking
243.0,0,2023-12-17 12:00:00,0.041008,54883969.0,bytes,Networking
244.0,0,2023-12-17 13:00:00,0.04103,61647043.0,bytes,Networking
245.0,0,2023-12-17 14:00:00,0.041031,59682580.0,bytes,Networking
246.0,0,2023-12-17 15:00:00,0.041029,59762706.0,bytes,Networking
247.0,0,2023-12-17 16:00:00,0.040999999999999995,52827249.0,bytes,Networking
248.0,0,2023-12-17 17:00:00,0.040998,52105460.0,bytes,Networking
249.0,0,2023-12-17 18:00:00,0.040997,52670640.0,bytes,Networking
250.0,0,2023-12-17 19:00:00,0.040999,56404802.0,bytes,Networking
251.0,0,2023-12-17 20:00:00,0.040997,54725834.0,bytes,Networking
252.0,0,2023-12-17 21:00:00,0.040998,51124354.0,bytes,Networking
253.0,0,2023-12-17 22:00:00,0.040998,56187794.0,bytes,Networking
254.0,0,2023-12-17 23:00:00,0.040998,52567686.0,bytes,Networking
255.0,0,2023-12-18 00:00:00,0.040999,53953507.0,bytes,Networking
256.0,0,2023-12-18 01:00:00,0.040999,53773107.0,bytes,Networking
257.0,0,2023-12-18 02:00:00,0.040997,54856252.0,bytes,Networking
258.0,0,2023-12-18 03:00:00,0.040998,52651533.0,bytes,Networking
259.0,0,2023-12-18 04:00:00,0.040998,55125833.0,bytes,Networking
260.0,0,2023-12-18 05:00:00,0.040998,54773900.0,bytes,Networking
261.0,0,2023-12-18 06:00:00,0.040998,54814557.0,bytes,Networking
262.0,0,2023-12-18 07:00:00,0.040999,54260943.0,bytes,Networking
263.0,0,2023-12-18 08:00:00,0.040999,50502019.0,bytes,Networking
264.0,0,2023-12-18 09:00:00,0.041004,64193223.0,bytes,Networking
265.0,0,2023-12-18 10:00:00,0.041003,48923379.0,bytes,Networking
266.0,0,2023-12-18 11:00:00,0.041003,54880277.0,bytes,Networking
267.0,0,2023-12-18 12:00:00,0.041002000000000004,56200532.0,bytes,Networking
268.0,0,2023-12-18 13:00:00,0.041001,54689656.0,bytes,Networking
269.0,0,2023-12-18 14:00:00,0.041001,53024281.0,bytes,Networking
270.0,0,2023-12-18 15:00:00,0.041002000000000004,57037279.0,bytes,Networking
271.0,0,2023-12-18 16:00:00,0.041001,53911318.0,seconds,Networking
272.0,0,2023-12-18 17:00:00,0.041,55484381.0,seconds,Networking
273.0,0,2023-12-18 18:00:00,0.041001,53370517.0,seconds,Networking
274.0,0,2023-12-18 19:00:00,0.041,55154726.0,seconds,Networking
275.0,0,2023-12-18 20:00:00,0.041001,51579410.0,seconds,Networking
