usage_end_time,cost,usage_amount,usage_unit,service_type
2023-12-07 9:00:00,0.025194,907.0,seconds,Kubernetes Engine
2023-12-07 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
2023-12-07 11:00:00,0.099971,3599.0,seconds,Kubernetes Engine
2023-12-07 12:00:00,0.045916,1653.0,seconds,Kubernetes Engine
2023-12-07 12:00:00,0.054083,1947.0,seconds,Kubernetes Engine
2023-12-07 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-07 14:00:00,0.059694,2149.0,seconds,Kubernetes Engine
2023-12-07 14:00:00,0.040305,1451.0,seconds,Kubernetes Engine
2023-12-07 15:00:00,0.006722,242.0,seconds,Kubernetes Engine
2023-12-07 15:00:00,0.093277,3358.0,seconds,Kubernetes Engine
2023-12-07 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-07 17:00:00,0.070722,2546.0,seconds,Kubernetes Engine
2023-12-07 17:00:00,0.029277,1054.0,seconds,Kubernetes Engine
2023-12-07 18:00:00,0.042027,1513.0,seconds,Kubernetes Engine
2023-12-07 18:00:00,0.057972,2087.0,seconds,Kubernetes Engine
2023-12-07 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-07 20:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-07 21:00:00,0.040416,1455.0,seconds,Kubernetes Engine
2023-12-07 21:00:00,0.059583,2145.0,seconds,Kubernetes Engine
2023-12-07 22:00:00,0.038194,1375.0,seconds,Kubernetes Engine
2023-12-07 22:00:00,0.061805,2225.0,seconds,Kubernetes Engine
2023-12-07 23:00:00,0.1,3600.0,seconds,Kubernetes Engine
2023-12-08 0:00:00,0.038527,1387.0,seconds,Kubernetes Engine
2023-12-08 0:00:00,0.061472,2213.0,seconds,Kubernetes Engine
2023-12-08 1:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 2:00:00,0.061444,2212.0,seconds,Kubernetes Engine
2023-12-08 2:00:00,0.038555,1388.0,seconds,Kubernetes Engine
2023-12-08 3:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 4:00:00,0.034083,1227.0,seconds,Kubernetes Engine
2023-12-08 4:00:00,0.065916,2373.0,seconds,Kubernetes Engine
2023-12-08 5:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 6:00:00,0.067888,2444.0,seconds,Kubernetes Engine
2023-12-08 6:00:00,0.032111,1156.0,seconds,Kubernetes Engine
2023-12-08 7:00:00,0.078222,2816.0,seconds,Kubernetes Engine
2023-12-08 7:00:00,0.021777,784.0,seconds,Kubernetes Engine
2023-12-08 8:00:00,0.018361,661.0,seconds,Kubernetes Engine
2023-12-08 8:00:00,0.081638,2939.0,seconds,Kubernetes Engine
2023-12-08 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
2023-12-08 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
2023-12-08 11:00:00,0.001777,64.0,seconds,Kubernetes Engine
2023-12-08 11:00:00,0.098222,3536.0,seconds,Kubernetes Engine
2023-12-08 12:00:00,0.004416,159.0,seconds,Kubernetes Engine
2023-12-08 12:00:00,0.095582,3441.0,seconds,Kubernetes Engine
2023-12-08 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 15:00:00,0.073944,2662.0,seconds,Kubernetes Engine
2023-12-08 15:00:00,0.026055,938.0,seconds,Kubernetes Engine
2023-12-08 16:00:00,0.038888,1400.0,seconds,Kubernetes Engine
2023-12-08 16:00:00,0.061111,2200.0,seconds,Kubernetes Engine
2023-12-08 17:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 18:00:00,0.079749,2871.0,seconds,Kubernetes Engine
2023-12-08 18:00:00,0.02025,729.0,seconds,Kubernetes Engine
2023-12-08 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-08 20:00:00,0.023472,845.0,seconds,Kubernetes Engine
2023-12-08 20:00:00,0.076527,2755.0,seconds,Kubernetes Engine
2023-12-08 21:00:00,0.1,3600.0,seconds,Kubernetes Engine
2023-12-08 22:00:00,0.043527,1567.0,seconds,Kubernetes Engine
2023-12-08 22:00:00,0.056472,2033.0,seconds,Kubernetes Engine
2023-12-08 23:00:00,0.026194,943.0,seconds,Kubernetes Engine
2023-12-08 23:00:00,0.073805,2657.0,seconds,Kubernetes Engine
2023-12-09 0:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-09 1:00:00,0.061222,2204.0,seconds,Kubernetes Engine
2023-12-09 1:00:00,0.038777,1396.0,seconds,Kubernetes Engine
2023-12-09 2:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-09 3:00:00,0.080805,2909.0,seconds,Kubernetes Engine
2023-12-09 3:00:00,0.019194,691.0,seconds,Kubernetes Engine
2023-12-09 4:00:00,0.090222,3248.0,seconds,Kubernetes Engine
2023-12-09 4:00:00,0.002694,97.0,seconds,Kubernetes Engine
2023-12-09 4:00:00,0.007083,255.0,seconds,Kubernetes Engine
2023-12-09 5:00:00,0.076527,2755.0,seconds,Kubernetes Engine
2023-12-09 5:00:00,0.023472,845.0,seconds,Kubernetes Engine
2023-12-09 6:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2023-12-09 7:00:00,0.038027,1369.0,seconds,Kubernetes Engine
2023-12-09 7:00:00,0.061972,2231.0,seconds,Kubernetes Engine
