reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
66.0,0,2024-08-04 02:00:00,0.0,583200.0,byte-seconds,Dataplex
67.0,0,2024-08-04 03:00:00,0.0,583200.0,byte-seconds,Dataplex
68.0,0,2024-08-04 04:00:00,0.0,583200.0,byte-seconds,Dataplex
69.0,0,2024-08-04 05:00:00,0.0,583200.0,byte-seconds,Dataplex
70.0,0,2024-08-04 06:00:00,0.0,583200.0,byte-seconds,Dataplex
71.0,0,2024-08-04 07:00:00,0.0,583200.0,byte-seconds,Dataplex
72.0,0,2024-08-04 08:00:00,0.0,583200.0,byte-seconds,Dataplex
73.0,0,2024-08-04 09:00:00,0.0,583200.0,byte-seconds,Dataplex
74.0,0,2024-08-04 10:00:00,0.0,583200.0,byte-seconds,Dataplex
75.0,0,2024-08-04 11:00:00,0.0,583200.0,byte-seconds,Dataplex
76.0,0,2024-08-04 12:00:00,0.0,583200.0,byte-seconds,Dataplex
77.0,0,2024-08-04 13:00:00,0.0,583200.0,byte-seconds,Dataplex
78.0,0,2024-08-04 14:00:00,0.0,583200.0,byte-seconds,Dataplex
79.0,0,2024-08-04 15:00:00,0.0,583200.0,byte-seconds,Dataplex
80.0,0,2024-08-04 16:00:00,0.0,583200.0,byte-seconds,Dataplex
81.0,0,2024-08-04 17:00:00,0.0,583200.0,byte-seconds,Dataplex
82.0,0,2024-08-04 18:00:00,0.0,583200.0,byte-seconds,Dataplex
83.0,0,2024-08-04 19:00:00,0.0,583200.0,byte-seconds,Dataplex
84.0,0,2024-08-04 20:00:00,0.0,583200.0,byte-seconds,Dataplex
85.0,0,2024-08-04 21:00:00,0.0,583200.0,byte-seconds,Dataplex
86.0,0,2024-08-04 22:00:00,0.0,583200.0,byte-seconds,Dataplex
87.0,0,2024-08-04 23:00:00,0.0,583200.0,byte-seconds,Dataplex
88.0,0,2024-08-05 00:00:00,0.0,583200.0,byte-seconds,Dataplex
89.0,0,2024-08-05 01:00:00,0.0,583200.0,byte-seconds,Dataplex
90.0,0,2024-08-05 02:00:00,0.0,583200.0,byte-seconds,Dataplex
91.0,0,2024-08-05 03:00:00,0.0,583200.0,byte-seconds,Dataplex
92.0,0,2024-08-05 04:00:00,0.0,583200.0,byte-seconds,Dataplex
93.0,0,2024-08-05 05:00:00,0.0,583200.0,byte-seconds,Dataplex
94.0,0,2024-08-05 06:00:00,0.0,583200.0,byte-seconds,Dataplex
95.0,0,2024-08-05 07:00:00,0.0,583200.0,byte-seconds,Dataplex
96.0,0,2024-08-05 08:00:00,0.0,583200.0,byte-seconds,Dataplex
97.0,0,2024-08-05 09:00:00,0.0,583200.0,byte-seconds,Dataplex
98.0,0,2024-08-05 10:00:00,0.0,583200.0,byte-seconds,Dataplex
99.0,0,2024-08-05 11:00:00,0.0,583200.0,byte-seconds,Dataplex
100.0,0,2024-08-05 12:00:00,0.0,583200.0,byte-seconds,Dataplex
101.0,0,2024-08-05 13:00:00,0.0,583200.0,byte-seconds,Dataplex
102.0,0,2024-08-05 14:00:00,0.0,583200.0,byte-seconds,Dataplex
103.0,0,2024-08-05 15:00:00,0.0,583200.0,byte-seconds,Dataplex
104.0,0,2024-08-05 16:00:00,0.0,583200.0,byte-seconds,Dataplex
105.0,0,2024-08-05 17:00:00,0.0,583200.0,byte-seconds,Dataplex
106.0,0,2024-08-05 18:00:00,0.0,583200.0,byte-seconds,Dataplex
107.0,0,2024-08-05 19:00:00,0.0,583200.0,byte-seconds,Dataplex
108.0,0,2024-08-05 20:00:00,0.0,583200.0,byte-seconds,Dataplex
109.0,0,2024-08-05 21:00:00,0.0,583200.0,byte-seconds,Dataplex
110.0,0,2024-08-05 22:00:00,0.0,583200.0,byte-seconds,Dataplex
111.0,0,2024-08-05 23:00:00,0.0,583200.0,byte-seconds,Dataplex
112.0,0,2024-08-06 00:00:00,0.0,583200.0,byte-seconds,Dataplex
113.0,0,2024-08-06 01:00:00,0.0,583200.0,byte-seconds,Dataplex
114.0,0,2024-08-06 02:00:00,0.0,583200.0,byte-seconds,Dataplex
115.0,0,2024-08-06 03:00:00,0.0,583200.0,byte-seconds,Dataplex
116.0,0,2024-08-06 04:00:00,0.0,583200.0,byte-seconds,Dataplex
117.0,0,2024-08-06 05:00:00,0.0,583200.0,byte-seconds,Dataplex
118.0,0,2024-08-06 06:00:00,0.0,583200.0,byte-seconds,Dataplex
119.0,0,2024-08-06 07:00:00,0.0,583200.0,byte-seconds,Dataplex
120.0,0,2024-08-06 08:00:00,0.0,583200.0,byte-seconds,Dataplex
121.0,0,2024-08-06 09:00:00,0.0,583200.0,byte-seconds,Dataplex
122.0,0,2024-08-06 10:00:00,0.0,583200.0,byte-seconds,Dataplex
123.0,0,2024-08-06 11:00:00,0.0,583200.0,byte-seconds,Dataplex
124.0,0,2024-08-06 12:00:00,0.0,583200.0,byte-seconds,Dataplex
125.0,0,2024-08-06 13:00:00,0.0,583200.0,byte-seconds,Dataplex
126.0,0,2024-08-06 14:00:00,0.0,583200.0,byte-seconds,Dataplex
127.0,0,2024-08-06 15:00:00,0.0,583200.0,byte-seconds,Dataplex
128.0,0,2024-08-06 16:00:00,0.0,583200.0,byte-seconds,Dataplex
129.0,0,2024-08-06 17:00:00,0.0,583200.0,byte-seconds,Dataplex
130.0,0,2024-08-06 18:00:00,0.0,583200.0,byte-seconds,Dataplex
131.0,0,2024-08-06 19:00:00,0.0,583200.0,byte-seconds,Dataplex
132.0,0,2024-08-06 20:00:00,0.0,583200.0,byte-seconds,Dataplex
133.0,0,2024-08-06 21:00:00,0.0,583200.0,byte-seconds,Dataplex
134.0,0,2024-08-06 22:00:00,0.0,583200.0,byte-seconds,Dataplex
135.0,0,2024-08-06 23:00:00,0.0,583200.0,byte-seconds,Dataplex
136.0,0,2024-08-07 00:00:00,0.0,583200.0,byte-seconds,Dataplex
137.0,0,2024-08-07 01:00:00,0.0,583200.0,byte-seconds,Dataplex
138.0,0,2024-08-07 02:00:00,0.0,583200.0,byte-seconds,Dataplex
139.0,0,2024-08-07 03:00:00,0.0,583200.0,byte-seconds,Dataplex
140.0,0,2024-08-07 04:00:00,0.0,583200.0,byte-seconds,Dataplex
141.0,0,2024-08-07 05:00:00,0.0,583200.0,byte-seconds,Dataplex
142.0,0,2024-08-07 06:00:00,0.0,583200.0,byte-seconds,Dataplex
143.0,0,2024-08-07 07:00:00,0.0,583200.0,byte-seconds,Dataplex
144.0,0,2024-08-07 08:00:00,0.0,583200.0,byte-seconds,Dataplex
145.0,0,2024-08-07 09:00:00,0.0,583200.0,byte-seconds,Dataplex
146.0,0,2024-08-07 10:00:00,0.0,583200.0,byte-seconds,Dataplex
147.0,0,2024-08-07 11:00:00,0.0,583200.0,byte-seconds,Dataplex
148.0,0,2024-08-07 12:00:00,0.0,583200.0,byte-seconds,Dataplex
149.0,0,2024-08-07 13:00:00,0.0,583200.0,byte-seconds,Dataplex
150.0,0,2024-08-07 14:00:00,0.0,583200.0,byte-seconds,Dataplex
151.0,0,2024-08-07 15:00:00,0.0,583200.0,byte-seconds,Dataplex
152.0,0,2024-08-07 16:00:00,0.0,583200.0,byte-seconds,Dataplex
153.0,0,2024-08-07 17:00:00,0.0,583200.0,byte-seconds,Dataplex
154.0,0,2024-08-07 18:00:00,0.0,583200.0,byte-seconds,Dataplex
155.0,0,2024-08-07 19:00:00,0.0,583200.0,byte-seconds,Dataplex
