reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
67.0,0,2023-12-22 04:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
68.0,0,2023-12-22 05:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
69.0,0,2023-12-22 06:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
70.0,0,2023-12-22 07:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
71.0,0,2023-12-22 08:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
72.0,0,2023-12-22 09:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
73.0,0,2023-12-22 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
74.0,0,2023-12-22 11:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
75.0,0,2023-12-22 12:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
76.0,0,2023-12-22 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
77.0,0,2023-12-22 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
78.0,0,2023-12-22 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
79.0,0,2023-12-22 16:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
80.0,0,2023-12-22 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
81.0,0,2023-12-22 18:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
82.0,0,2023-12-22 19:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
83.0,0,2023-12-22 20:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
84.0,0,2023-12-22 21:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
85.0,0,2023-12-22 22:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
86.0,0,2023-12-22 23:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
87.0,0,2023-12-23 00:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
88.0,0,2023-12-23 01:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
89.0,0,2023-12-23 02:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
90.0,0,2023-12-23 03:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
91.0,0,2023-12-23 04:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
92.0,0,2023-12-23 05:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
93.0,0,2023-12-23 06:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
94.0,0,2023-12-23 07:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
95.0,0,2023-12-23 08:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
96.0,0,2023-12-23 09:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
97.0,0,2023-12-23 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
98.0,0,2023-12-23 11:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
99.0,0,2023-12-23 12:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
100.0,0,2023-12-23 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
101.0,0,2023-12-23 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
102.0,0,2023-12-23 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
103.0,0,2023-12-23 16:00:00,1.1000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
104.0,0,2023-12-23 17:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
105.0,0,2023-12-23 18:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
106.0,0,2023-12-23 19:00:00,1.1000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
107.0,0,2023-12-23 20:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
108.0,0,2023-12-23 21:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
109.0,0,2023-12-23 22:00:00,1.1000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
110.0,0,2023-12-23 23:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
111.0,0,2023-12-24 00:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
112.0,0,2023-12-24 01:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
113.0,0,2023-12-24 02:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
114.0,0,2023-12-24 03:00:00,1.1000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
115.0,0,2023-12-24 04:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
116.0,0,2023-12-24 05:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
117.0,0,2023-12-24 06:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
118.0,0,2023-12-24 07:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
119.0,0,2023-12-24 08:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
120.0,0,2023-12-24 09:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
121.0,0,2023-12-24 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
122.0,0,2023-12-24 11:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
123.0,0,2023-12-24 12:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
124.0,0,2023-12-24 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
125.0,0,2023-12-24 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
126.0,0,2023-12-24 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
127.0,0,2023-12-24 16:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
128.0,0,2023-12-24 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
